통계분류(1),통계분류(2),통계분류(3),2019,,,,,,,,,,2020,,,,,,,,,,2021,,,,,,,,,,2022,,,,,,,,,
,,,걷기(조깅 속보),등산,체조(맨손 체조 생활 체조),볼링,자전거사이클산악 자전거,축구 풋살,보디빌딩(헬스),수영,당구포켓볼,배드민턴,걷기(조깅 속보),등산,체조(맨손 체조 생활 체조),볼링,자전거사이클산악 자전거,축구 풋살,보디빌딩(헬스),수영,당구포켓볼,배드민턴,걷기(조깅 속보),등산,체조(맨손 체조 생활 체조),볼링,자전거사이클산악 자전거,축구 풋살,보디빌딩(헬스),당구포켓볼,배드민턴,요가 필라 테스 태보,걷기(조깅 속보),등산,체조(맨손 체조 생활 체조),볼링,자전거사이클산악 자전거,축구 풋살,보디빌딩(헬스),수영,당구포켓볼,골프(그라운드 파크 포함)
전체,소계,소계,56.7,32.4,16,11.1,10.3,9.1,14,10.8,10.3,7.8,49,22.8,11.4,8.6,8.1,8.1,10.8,7.8,7.8,6.1,48.5,21,10.6,6.3,8.6,7,11.2,6.6,6.1,6.7,48.8,23.5,11.2,11.2,11.1,11,10.6,10,9.3,9.3
도시규모별,대도시,소계,56.8,35.2,18,11.7,10.9,9.1,14.8,12.7,11.6,8.4,47.8,22.8,10.9,9.7,7.4,7.5,12.2,8,8.8,5.9,45.5,21.9,8.5,7,9,5.8,12.7,6.8,5.9,7.4,46.4,21.1,9.2,11.8,9.8,8.6,11,11,10.9,9.1
도시규모별,중소도시,소계,55.2,32.8,15.5,11.5,10.3,9.5,15.1,10.2,10,7.9,50.6,23.5,11.3,8.5,9.6,8.8,10.6,7.9,7,7.1,49.2,19.5,10.2,5.4,7.4,7.9,11.3,6.8,5.9,6.4,53.2,27.9,10.7,12,10.7,13.6,9.8,9.9,9.3,11.6
도시규모별,읍 면 이하,소계,59.1,25.9,12.9,9.1,9.2,8.1,10.3,8.1,8.1,6.2,48.2,21.3,12.7,6.4,6.9,7.8,8.1,7.2,7,4.6,53.3,23.2,16.3,6.9,10.5,7.7,7.6,6.3,6.6,6,45.4,20.3,16.5,8.2,14.6,10.9,11.1,8,6.2,5.2
성별,남성,소계,49.7,36.9,11.6,14.3,15.7,17.6,19.1,8.1,19,7.1,41.4,26.1,7.8,10.8,11.9,15.6,14,4.6,14,6.3,39.3,23.9,8.1,8.4,12.2,13.5,14.8,12.5,6.1,0.6,39.4,25.1,7.4,12.7,16,21.1,15,6.1,15,12.1
성별,여성,소계,63.7,27.9,20.5,7.9,5,0.5,8.9,13.6,1.5,8.4,56.5,19.4,15.1,6.4,4.4,0.5,7.6,11,1.5,5.9,57.7,18.2,13.1,4.1,5,0.4,7.7,0.7,6,12.8,58.2,21.9,15,9.6,6.2,0.8,6.2,13.9,3.7,6.4
연령별,10대,소계,39.5,8.5,15.1,7.9,16.5,33.7,3.2,12,2.9,13.8,35.5,4.2,13.8,7.7,15.6,30.5,2.5,6.8,3.9,11.9,26.7,3.4,12.3,4.5,16.1,22,6.3,2.3,16.6,2.1,29.4,6.1,8.6,9.7,22.3,31.9,3.9,11.4,7.8,1.1
연령별,20대,소계,46.7,20.9,15.6,26.1,15.5,15.6,22.7,11.7,23.2,7.3,38.1,12,7.8,18.9,10.3,10.9,20.9,8.7,14.8,7.5,35.8,10.2,7.1,16.3,10.1,11.4,25.5,11.6,4.4,14.9,34.8,13.8,6.1,20.4,17.8,19.6,21.6,12.9,13,3.8
연령별,30대,소계,51.8,29.7,10.7,19.8,12.9,8.4,26.1,15,16,9.9,41.6,18,8.6,13,10.5,7.9,18.7,9.9,13.4,6.8,41.7,20.2,10.1,9.2,10.4,8.6,18.5,10.8,5.4,10.4,41.2,21.1,7.2,18.7,10.7,13.6,17.8,13.2,13.9,10.9
연령별,40대,소계,57.5,40.8,10.8,10.3,9.9,5.4,20.4,10.1,11.6,9.9,47.8,27.6,11.7,8.5,6.7,5.6,11.7,10.1,8.1,5,48.2,24.5,9.5,7.1,8.9,7.4,12.7,9.7,7.5,8,45.9,29.9,7.5,13.6,11,10.3,14.4,12.2,12.1,13.4
연령별,50대,소계,62.5,49.7,17.1,7.2,8,4,8.9,11.2,8.1,6.5,53.7,34.6,10.6,6.6,6.9,5.4,9.2,7.3,6.9,5.8,52.4,33.2,9.8,4.5,7.6,2.7,7.4,6.3,6.6,4.8,53.2,34.4,10.9,9.9,7.8,6.3,8.1,10.2,8.5,15.9
연령별,60대,소계,66.7,43.8,22.1,1.8,6.2,2.3,7.1,10.7,3.6,5.4,61.1,35.4,13.5,2.4,4.9,2.2,5.3,6.6,3.2,4.7,63.3,32.6,12.6,0.7,5.9,1.1,4.1,2.4,3.6,3.1,64.8,31.6,19,3.8,7.7,2,3.7,7,6.3,10.7
연령별,70세이상,소계,70.7,19.3,24.4,0.3,3.2,0.1,1.6,3.6,1.2,1.1,64.1,17.8,16.1,0.9,3.6,0,2.5,3.4,0.8,2.3,66.5,12.1,14.4,0.3,2.9,0.2,1.3,0.2,0.5,1.1,66.7,16,19.8,0.6,4.2,0.5,1.5,2,1.8,2.6
성별 연령별,남성,10대,27.1,6.2,9.7,6.9,22.3,62.2,4.7,13.7,4.4,13,26.3,4,7.8,9.8,21.6,55.8,2.9,5.8,6.1,11.1,19.2,3,8.6,5.7,21.1,39.6,6.8,3.1,13.7,0.1,18.6,5.8,4.5,11,29.2,58.4,5.3,7,10.7,1.5
성별 연령별,남성,20대,35.2,15.1,12.3,32,20,28.7,32.2,9.3,37.7,6.3,30.1,11.7,4.9,24.3,11.4,20.3,25.5,5.3,24.9,7.2,25.3,9.8,5.7,17.3,12.6,21.2,31.8,19.2,4.5,1.9,22.6,10.6,2.7,21.4,23.3,35.2,29.5,9.4,17.3,3.9
성별 연령별,남성,30대,48.5,36,8.3,24.8,20.1,16,31.9,11,28.4,7.3,32.6,22.4,5.1,15.7,15.5,15.1,23.7,6.9,22.4,5.2,35.9,23.5,7.2,12.2,13.1,15.9,25.7,19.8,4.3,0.2,34.1,21.5,4.6,20.6,14.5,25.8,24.3,7.4,21.3,12.6
성별 연령별,남성,40대,52.7,47.3,8.5,14.3,14.3,10.6,27.7,7.9,22.5,8.2,39.3,32.3,8,10,10.3,10.9,15.4,5.1,14.6,4.9,35.6,27.3,5.7,10.9,13.2,14.2,15.6,18.7,9,0.9,35.3,30.1,3.4,16.3,15.1,19.8,18.8,8.4,20,18.4
성별 연령별,남성,50대,55.7,58.2,9.5,9.6,13.6,7.7,11.5,5.7,15.8,6.6,46.6,40,7.6,7.2,10.2,10.2,11.7,4,13.2,6.8,43.5,34.4,7.6,6.9,11.8,5.4,9.3,12.5,7.3,0.3,42.8,37.8,7.1,9.8,12,11.8,10.9,4.9,16.2,19.2
성별 연령별,남성,60대,61.8,51.9,15.4,1.4,10.3,4.4,8.7,5.7,7.2,5.6,58.2,39.1,10.9,3,8,4.3,5.9,2.4,6.2,5.9,53.7,40.3,11.2,1,8.7,2.3,5.1,4.8,3.3,0.1,58.6,36.8,14.9,4.9,12.5,3.9,6.2,2.7,10.1,15.4
성별 연령별,남성,70세이상,69.8,28.9,23.6,0.3,6.5,0.2,2.4,2.1,3,1.6,62.1,23.5,12.5,1,7.3,0,3.9,1.3,1.9,3.3,65,18.6,13.9,0.4,5.2,0.5,1.9,0.4,0.8,0,64.9,22.1,17.2,0.3,8.2,1.2,2.9,1.4,2.5,4.9
성별 연령별,여성,10대,52.9,10.9,21,8.9,10.2,2.9,1.6,10.1,1.4,14.7,45.4,4.5,20.2,5.5,9,3.2,2,7.8,1.5,12.9,34.9,3.9,16.2,3.1,10.8,3.1,5.9,1.5,19.7,4.3,41.1,6.3,13,8.4,14.9,3.6,2.4,16.2,4.7,0.7
성별 연령별,여성,20대,59.8,27.4,19.3,19.3,10.3,0.6,11.9,14.3,6.6,8.4,47.1,12.4,11.1,12.8,9.1,0.3,15.6,12.5,3.3,7.8,47.6,10.6,8.7,15.3,7.3,0.4,18.5,3,4.2,29.6,48.4,17.4,10,19.2,11.5,2.1,12.6,16.9,8.1,3.7
성별 연령별,여성,30대,55.5,22.7,13.4,14.4,5.1,0.1,19.7,19.3,2.5,12.7,51.6,13.1,12.3,10.1,4.9,0.1,13.2,13.4,3.6,8.5,48.2,16.4,13.3,5.9,7.4,0.4,10.5,0.8,6.6,21.7,49.2,20.5,10.1,16.5,6.4,0,10.5,19.6,5.7,8.9
성별 연령별,여성,40대,62.4,34,13.1,6.2,5.3,0,12.9,12.4,0.1,11.6,56.7,22.7,15.6,7,3,0.1,7.8,15.3,1.3,5.2,61.4,21.7,13.6,3,4.4,0.2,9.5,0.3,5.9,15.5,56.9,29.7,11.7,10.7,6.8,0.3,9.9,16.3,3.9,8.2
성별 연령별,여성,50대,69.4,41.1,24.8,4.8,2.4,0.3,6.2,16.7,0.3,6.5,60.8,29.1,13.6,6,3.5,0.5,6.8,10.7,0.5,4.7,61.3,31.9,12.1,2,3.4,0,5.5,0.1,6,9.3,63.7,31,14.8,9.9,3.7,0.7,5.3,15.7,0.8,12.5
성별 연령별,여성,60대,71.3,36.1,28.5,2.3,2.3,0.3,5.7,15.4,0.1,5.2,64,31.8,16.1,1.9,2,0.3,4.7,10.7,0.4,3.6,72.5,25.3,13.9,0.4,3.3,0,3,0.1,3.9,5.9,70.8,26.6,22.8,2.8,3,0.2,1.3,11.1,2.7,6.2
성별 연령별,여성,70세이상,71.3,12.7,25.1,0.3,0.9,0,1.1,4.7,0,0.7,65.4,13.8,18.5,0.8,1,0,1.5,4.9,0.1,1.6,67.6,7.5,14.9,0.3,1.4,0,0.9,0,0.3,1.8,67.9,11.7,21.6,0.8,1.3,0,0.5,2.4,1.4,1
소득별,100만원미만,소계,65.9,7.2,19.7,2.4,4.5,1.1,2.5,4.1,1.8,3.5,50.1,8.9,15.6,1,1.2,1,1.4,1.1,1.3,0.6,54.3,9.2,10.2,1.3,8.4,3.5,1.2,3.4,2.9,0.8,67.8,5.4,27.3,0,1.3,0.9,0,0,0,0
소득별,100-200만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73.1,14.7,15.9,4,7.7,2.3,1.8,3.9,0.8,1
소득별,200-300만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.9,20.6,17.2,6.1,10.3,6.6,6.5,6.3,5,1.9
소득별,300-400만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,25.5,12.5,9.2,12.5,8.6,12.2,9.1,8.8,3.3
소득별,400-500만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.8,23.9,11.3,9.8,12,13.3,8.9,8.9,8.5,7.8
소득별,500-600만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.7,28,10.3,13,9.7,13.2,10.1,11.4,10.4,13
소득별,600-700만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.3,22.9,6.6,13.8,10.3,14.5,13.3,11.5,11.1,13.3
소득별,700-800만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.1,20.9,7.8,14.7,12.7,8.2,17.7,14.8,12.4,12.5
소득별,800-900만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.1,19,8.2,15.5,14.4,10.8,15.4,12.4,14.8,18.3
소득별,900만원 이상,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.4,19.9,9.1,33.3,21.3,15.8,20.5,21.4,30.6,39.4
소득별,100~150만원미만,소계,64.3,20.6,22,0.3,2.6,0.3,1.6,2.3,0.6,1.2,61.1,17.4,20.3,0.4,1.9,0.2,1.9,1.2,0.4,1.4,65.8,14.7,15.5,1.1,2,0,0.1,0.8,0.5,4.4,-,-,-,-,-,-,-,-,-,-
소득별,150~200만원미만,소계,67.5,21.9,21.6,1.5,3.2,2.5,2.6,5,1.7,2.2,61.1,22.2,18.6,0.7,6.6,0.4,1.6,3.9,1.1,2.1,61.4,18.9,17.5,2.3,9.5,1.4,3.2,1.9,3.3,3.6,-,-,-,-,-,-,-,-,-,-
소득별,200~250만원미만,소계,67.8,24.3,22.4,3.8,3.8,3,6,5.1,3.7,3.3,63.1,26.7,17.1,2.6,7.5,2.2,5.3,4,3.9,3.3,60.1,21.9,19.8,2.4,7.2,5.4,6.3,3.5,5.5,3.5,-,-,-,-,-,-,-,-,-,-
소득별,250~300만원미만,소계,63.6,43.8,16.1,4.5,7,6.5,8.5,8.1,5.3,4.9,49.7,23.1,11.4,3.6,5.7,3.7,9.9,4.5,6.1,3.9,57.4,23.3,14.7,4.5,6.5,7.2,10.5,6.5,6,4.8,-,-,-,-,-,-,-,-,-,-
소득별,300~350만원미만,소계,59.2,30.5,13.1,8.2,10.9,9.8,9,10.7,10.1,8.3,49.6,23.7,11.2,7.4,7.8,4.9,8.7,7,8,4.9,53.2,26.4,11.7,5.4,6.9,6.7,8.7,6.8,8.9,6.3,-,-,-,-,-,-,-,-,-,-
소득별,350~400만원미만,소계,62.5,38.8,16.8,9.4,9.4,8,10,12.8,9.1,7.5,50,22.6,10.8,7.7,8.1,7.8,9.2,6.3,9.2,5.1,48.6,25.5,10.7,6.8,8.7,7,11.5,6.7,7.7,6.9,-,-,-,-,-,-,-,-,-,-
소득별,400~450만원미만,소계,56.2,25.3,18.8,13.9,8.7,11.7,20.5,11.5,9.3,6.7,44.7,20.9,9.3,9,8.3,10.4,12.2,9,8.2,6.2,42.4,20.9,9.5,6.6,9.3,9.2,12.4,8.2,5.9,6.4,-,-,-,-,-,-,-,-,-,-
소득별,450~500만원미만,소계,49.6,34.6,13.7,16,10.8,14.5,20.2,12.6,14.4,8.2,47.4,22.9,10.8,12.7,8.8,14.4,12,10.2,11.6,9.5,47.4,22.8,9,7.6,9.6,7.9,11.5,5.2,6.7,6.8,-,-,-,-,-,-,-,-,-,-
소득별,500~550만원미만,소계,51.4,32.4,17.7,11.8,10.8,10.1,16.2,10.4,10.9,11.1,46.1,23.1,9.4,12.5,8,10.3,10.7,7.6,8.4,8.1,40.5,19.6,8.5,8.7,10.7,7.9,14.3,6.8,6,8.1,-,-,-,-,-,-,-,-,-,-
소득별,550~600만원미만,소계,52.9,33.6,10.6,14.2,15.7,10,15.1,13.3,14.9,10.2,47.6,23,11,11.7,10.8,10.1,15.5,11.4,9.2,7.1,37.3,19,7.5,8.5,11.6,9.5,11.4,9.4,5.6,8.1,-,-,-,-,-,-,-,-,-,-
소득별,600만원이상,소계,49.2,43,10.8,18.7,18.8,8.7,20.1,15.3,17.8,11.2,43.9,26.5,9.5,11.5,11,8.8,18.5,11.7,8.3,7.9,46.1,17.9,6.9,7.7,8.4,6.9,18,9.1,5.6,9.5,-,-,-,-,-,-,-,-,-,-
소득별,모름/무응답,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,21.9,11.1,0,4.5,0,0,0,13.5,0,-,-,-,-,-,-,-,-,-,-
